sku_id,product_name,category,brand,price,features,specs,target_audience,keywords
SKU-001,Mechanical Gaming Keyboard,Electronics,NanoWave,231.65,"[""Active noise cancellation"", ""Premium sound drivers"", ""IPX4 water resistance"", ""40-hour battery life"", ""Touch control interface""]","{""battery_life"": ""24 hours"", ""connectivity"": ""WiFi + Bluetooth"", ""weight"": ""150g"", ""dimensions"": ""10 x 8 x 2 cm"", ""warranty"": ""2 year"", ""color_options"": 5}",Budget-conscious shoppers,"[""4K"", ""USB-C"", ""fast charging""]"
SKU-002,HD Webcam with Microphone,Electronics,CircuitPro,93.9,"[""Voice assistant compatible"", ""Bluetooth 5.0 connectivity"", ""LED indicator lights"", ""Built-in microphone"", ""Auto sleep/wake function""]","{""battery_life"": ""40 hours"", ""connectivity"": ""USB-C"", ""weight"": ""300g"", ""dimensions"": ""9 x 6 x 3 cm"", ""warranty"": ""2 years"", ""color_options"": 5}",Home cooks,"[""wireless"", ""4K"", ""tech gadget"", ""USB-C""]"
SKU-003,Portable Bluetooth Speaker,Electronics,TechVibe,291.57,"[""40-hour battery life"", ""Voice assistant compatible"", ""Fast charging support"", ""Low latency mode"", ""Auto sleep/wake function""]","{""battery_life"": ""60 hours"", ""connectivity"": ""Bluetooth 5.2"", ""weight"": ""400g"", ""dimensions"": ""8 x 6 x 2 cm"", ""warranty"": ""2 year"", ""color_options"": 3}",Fitness enthusiasts,"[""noise cancelling"", ""USB-C"", ""fast charging""]"
SKU-004,Waterproof Running Jacket,Apparel,ComfortZone,87.58,"[""Moisture-wicking fabric"", ""Adjustable fit system"", ""Temperature regulating"", ""Quick-dry technology""]","{""material"": ""Merino Wool"", ""care_instructions"": ""Machine wash cold"", ""fit"": ""Slim"", ""sizes_available"": ""S-XXL"", ""country_of_origin"": ""India"", ""season"": ""All Season""}",Content creators,"[""comfortable"", ""sustainable fashion"", ""trendy"", ""athletic""]"
SKU-005,Insulated Winter Coat,Apparel,FashionForward,50.79,"[""Ergonomic seam placement"", ""Adjustable fit system"", ""Wrinkle-resistant finish"", ""Eco-friendly dyes"", ""Antimicrobial treatment"", ""Temperature regulating""]","{""material"": ""Merino Wool"", ""care_instructions"": ""Dry clean only"", ""fit"": ""Relaxed"", ""sizes_available"": ""S-XXL"", ""country_of_origin"": ""Vietnam"", ""season"": ""Fall/Winter""}",Outdoor adventurers,"[""trendy"", ""classic"", ""casual wear"", ""versatile"", ""premium quality""]"
SKU-006,Breathable Sports Bra,Apparel,PrimeWear,38.89,"[""100% organic cotton"", ""Reflective details"", ""Moisture-wicking fabric"", ""Reinforced stitching""]","{""material"": ""Cotton Blend"", ""care_instructions"": ""Hand wash only"", ""fit"": ""Regular"", ""sizes_available"": ""XS-XL"", ""country_of_origin"": ""USA"", ""season"": ""All Season""}",Minimalists,"[""versatile"", ""breathable"", ""comfortable"", ""casual wear"", ""premium quality""]"
SKU-007,Spice Rack Organizer,Home & Kitchen,ChefMaster,43.63,"[""Dishwasher safe"", ""Auto shut-off feature"", ""Scratch-resistant surface"", ""Easy-clean design""]","{""capacity"": ""5L"", ""power"": ""800W"", ""material"": ""Ceramic"", ""dimensions"": ""40 x 24 x 25 cm"", ""warranty"": ""1 years"", ""certifications"": ""Energy Star""}",Home cooks,"[""space saving"", ""home essential"", ""non-toxic""]"
SKU-008,Stand Mixer,Home & Kitchen,ArtisanWare,59.0,"[""Easy-clean design"", ""Rust-proof construction"", ""Auto shut-off feature"", ""Quiet operation"", ""Energy efficient operation"", ""Ergonomic soft-grip handles""]","{""capacity"": ""2L"", ""power"": ""1200W"", ""material"": ""Ceramic"", ""dimensions"": ""39 x 17 x 25 cm"", ""warranty"": ""3 years"", ""certifications"": ""FDA Approved""}",Luxury seekers,"[""durable"", ""organization"", ""non-toxic""]"
SKU-009,Heart Rate Monitor Chest Strap,Sports & Fitness,FlexMotion,154.35,"[""Sweat-resistant coating"", ""Ergonomic grip design"", ""High-density foam construction"", ""Reinforced core design"", ""Durable steel construction"", ""Weight capacity 500lbs""]","{""weight"": ""5 lbs"", ""material"": ""TPE"", ""dimensions"": ""86 x 34 x 16 cm"", ""resistance_levels"": ""10 levels"", ""warranty"": ""1 years"", ""skill_level"": ""All Levels""}",Budget-conscious shoppers,"[""workout gear"", ""cardio"", ""fitness equipment"", ""home gym""]"
SKU-010,Boxing Speed Bag,Sports & Fitness,FlexMotion,79.52,"[""Eco-friendly TPE material"", ""Reinforced core design"", ""Compact storage"", ""Non-slip textured surface"", ""Ergonomic grip design"", ""Anti-tear technology""]","{""weight"": ""1 lbs"", ""material"": ""TPE"", ""dimensions"": ""47 x 48 x 16 cm"", ""resistance_levels"": ""Fixed"", ""warranty"": ""2 year"", ""skill_level"": ""Advanced""}",Eco-conscious consumers,"[""cardio"", ""endurance"", ""fitness equipment"", ""home gym""]"
